name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL),_src
저당 망고 쫀득바 아이스크림,라라스윗,간식/디저트,28900,real,,80,4,24,1,1.2,30,75,mL,"알룰로스,아세설팜칼륨,효소처리스테비아,수크랄로스","알룰로스:3,아세설팜칼륨:0,효소처리스테비아:0,수크랄로스:0",,45,https://s3.zerofinder.co.kr/public/products/original/0NMBG53AXBR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBG670W7R00.png,https://zerofinder.co.kr/product/0NMBGKSFAKR00,zerofinder
저당 멜론 쫀득바 아이스크림,라라스윗,간식/디저트,28900,real,저당류,75,3,24,1,1.1,40,75,mL,"알룰로스,수크랄로스,아세설팜칼륨,효소처리스테비아","알룰로스:3,수크랄로스:0,아세설팜칼륨:0,효소처리스테비아:0",,12,https://s3.zerofinder.co.kr/public/products/original/0NMBCEAJ5KR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBCGW5YKR00.png,https://zerofinder.co.kr/product/0NMBFHQ433R00,zerofinder
망고 생요거트 파인트 474mL,라라스윗,간식/디저트,5900,real,저당류,80,3,17,1,3.8,30,80,mL,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스",,,6,https://s3.zerofinder.co.kr/public/products/original/0NPYBRBQS8800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBB9AFAKR00.png,https://zerofinder.co.kr/product/0NMBBYNJRKR00,zerofinder
저당 골드키위파인 듬뿍바 아이스크림,라라스윗,간식/디저트,9900,real,,55,4,18,,,5,70,mL,"알룰로스,수크랄로스,아세설팜칼륨,에리스리톨","알룰로스:1,수크랄로스:0,아세설팜칼륨:0,에리스리톨:1",,52,https://s3.zerofinder.co.kr/public/products/original/0NMB8TG777R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMB8VV7ZKR00.png,https://zerofinder.co.kr/product/0NMB9H20MFR00,zerofinder
저당 애플망고 생요거트바 아이스크림,라라스윗,간식/디저트,7110,real,저당류,75,3,18,1,2.7,25,75,mL,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스","알룰로스:1,에리스리톨:2,아세설팜칼륨:0,수크랄로스:0",,22,https://s3.zerofinder.co.kr/public/products/original/0NMAY8CPRZR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMAYAFF2BR00.png,https://zerofinder.co.kr/product/0NMB5ADFB3R00,zerofinder
덴마크 드링킹 요구르트 제로 플레인,동원F&B(에프앤비) 정읍공장,유제품,11600,estimated,저당류,47,4.73,10.18,3.64,0,55,100,mL,,,,13,https://s3.zerofinder.co.kr/public/products/original/0NJQJWR07V000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQJY6W93000.png,https://zerofinder.co.kr/product/0PCNV3FZFXHG7,zerofinder
덴마크 드링킹 요구르트 제로 사과,동원,유제품,14140,danawa,저당류,47,4.73,9.82,3.64,0,55,100,mL,말티톨,말티톨:0,,48,https://s3.zerofinder.co.kr/public/products/original/0NJQHYNRRF000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQJ8B8G3000.png,https://zerofinder.co.kr/product/0PCNV3FZDMZ1D,zerofinder
제로윗 당제로 초코 모나카,펄세스,간식/디저트,20800,estimated,무당류,106,0,20.72,1.43,6.43,26,100,mL,"알룰로스,에리스리톨,수크랄로스","알룰로스:0,에리스리톨:0,수크랄로스:0",,39,https://s3.zerofinder.co.kr/public/products/original/0NJQGDAWVZ000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQGM3FWQ000.png,https://zerofinder.co.kr/product/0PCNV3FZDGNC6,zerofinder
제로아워 알파시디 애사비 사과맛,건강한사람들,음료,15200,estimated,무당류,3,0,3.14,0,0,9,100,mL,"에리스리톨,수크랄로스,스테비올 배당체","에리스리톨:0,수크랄로스:0,스테비올 배당체:0",,32,https://s3.zerofinder.co.kr/public/products/original/0NJQFWBSZV000.png,,https://zerofinder.co.kr/product/0PCNV3FZDETPZ,zerofinder
모구모구 제로슈가 써머베리,모구모구,음료,14200,estimated,무당류,8,0,2,0,0,85,100,mL,"아세설팜칼륨,수크랄로스,스테비올 배당체","아세설팜칼륨:0,수크랄로스:0,스테비올 배당체:0",,10,https://s3.zerofinder.co.kr/public/products/original/0NJQF58AGV000.png,,https://zerofinder.co.kr/product/0PCNV3FZD9BT1,zerofinder
